year,total_attendance,avg_per_game,number_of_games
1982,1579410,6344,249
1983,2505046,7828,320
1984,1942288,5976,325
1985,1737018,5035,345
1986,2328143,5763,404
1987,2229106,5477,407
1988,2127917,5215,408
1989,3147155,6947,453
1990,3409759,7662,445
1991,4074552,7518,542
1992,4322639,7518,563
1993,4871007,8889,548
1994,4382032,8115,540
1995,5875174,10820,543
1996,4774765,8793,543
1997,4235015,7617,556
1998,2929572,5326,550
1999,3477768,6144,556
2000,2777068,5013,554
2001,3258630,5979,545
2002,2634748,4826,546
2003,2950231,5413,545
2004,2637559,4813,545
2005,3640690,7042,517
2006,3240992,6257,518
2007,4409239,8529,517
2008,5636191,10860,519
2009,5925285,11138,532
2010,5928626,11144,532
2011,6810028,12801,532
2012,7156157,13451,532
2013,6441945,11184,576
2014,6509915,11302,576
2015,7360530,10223,720
2016,8339577,11583,720
2017,8400688,11668,720
2018,8073742,11214,720
2019,7286008,10119,720
2020,328317,456,720
2021,1228489,1706,720
2022,6076074,8439,720
2023,8100326,11250,720
2024,10887705,15122,720
2025,12312519,17100,720
