year,rank,team,G,W,L,D,WPCT,GB
2021,1,KT Wiz,144,76,59,9,0.563,0
2021,2,Samsung Lions,144,76,59,9,0.563,0
2021,3,LG Twins,144,72,58,14,0.554,1.5
2021,4,Doosan Bears,144,71,65,8,0.522,5.5
2021,5,Kiwoom Heroes,144,70,67,7,0.511,7
2021,6,SSG Landers,144,66,64,14,0.508,7.5
2021,7,NC Dinos,144,67,68,9,0.496,9
2021,8,Lotte Giants,144,65,71,8,0.478,11.5
2021,9,Kia Tigers,144,58,76,10,0.433,17.5
2021,10,Hanwha Eagles,144,49,83,12,0.371,25.5
2022,1,SSG Landers,144,88,52,4,0.629,0
2022,2,LG Twins,144,87,55,2,0.613,2
2022,3,Kiwoom Heroes,144,80,62,2,0.563,9
2022,4,KT Wiz,144,80,62,2,0.563,9
2022,5,Kia Tigers,144,70,73,1,0.490,19.5
2022,6,NC Dinos,144,67,74,3,0.475,21.5
2022,7,Samsung Lions,144,66,76,2,0.465,23
2022,8,Lotte Giants,144,64,76,4,0.457,24
2022,9,Doosan Bears,144,60,82,2,0.423,29
2022,10,Hanwha Eagles,144,46,96,2,0.324,43
2023,1,LG Twins,144,86,56,2,0.606,0
2023,2,KT Wiz,144,79,62,3,0.560,6.5
2023,3,SSG Landers,144,76,65,3,0.539,9.5
2023,4,NC Dinos,144,75,67,2,0.528,11
2023,5,Doosan Bears,144,74,68,2,0.521,12
2023,6,Kia Tigers,144,73,69,2,0.514,13
2023,7,Lotte Giants,144,68,76,0,0.472,19
2023,8,Samsung Lions,144,61,82,1,0.427,25.5
2023,9,Hanwha Eagles,144,58,80,6,0.420,26
2023,10,Kiwoom Heroes,144,58,83,3,0.411,27.5
2024,1,Kia Tigers,144,87,55,2,0.613,0
2024,2,Samsung Lions,144,78,64,2,0.549,9
2024,3,LG Twins,144,76,66,2,0.535,11
2024,4,Doosan Bears,144,74,68,2,0.521,13
2024,5,KT Wiz,144,72,70,2,0.507,15
2024,6,SSG Landers,144,72,70,2,0.507,15
2024,7,Lotte Giants,144,66,74,4,0.471,20
2024,8,Hanwha Eagles,144,66,76,2,0.465,21
2024,9,NC Dinos,144,61,81,2,0.430,26
2024,10,Kiwoom Heroes,144,58,86,0,0.403,30
2025,1,LG Twins,144,85,56,3,0.603,0
2025,2,Hanwha Eagles,144,83,57,4,0.593,1.5
2025,3,SSG Landers,144,75,65,4,0.536,9.5
2025,4,Samsung Lions,144,74,68,2,0.521,11.5
2025,5,NC Dinos,144,71,67,6,0.514,12.5
2025,6,KT Wiz,144,71,68,5,0.511,13
2025,7,Lotte Giants,144,66,72,6,0.478,17.5
2025,8,Kia Tigers,144,65,75,4,0.464,19.5
2025,9,Doosan Bears,144,61,77,6,0.442,22.5
2025,10,Kiwoom Heroes,144,47,93,4,0.336,37.5
